claim,schedule,seed_lane,stream_seed,d,n,T,beta1,beta2,eta,B0,avg_grad_l1,avg_grad_l2
4,paper,0,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.16357849513015954,0.035591148565665275
4,paper,1,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.13677619897173546,0.03114851766375851
4,paper,2,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.11144456454472551,0.0250577992572919
4,paper,3,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.13114981781091772,0.028603129353298267
4,paper,4,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.13504116156775586,0.030109510156408805
4,paper,5,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.14306407729373535,0.03130323036024521
4,paper,6,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.12601163469866805,0.02826627006081908
4,paper,7,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.11903922082341953,0.02747744332378207
4,paper,8,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.11815811169015157,0.02736644463024989
4,paper,9,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.12001946610653136,0.027521874335612043
4,paper,10,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.11158716592981728,0.025292314323195567
4,paper,11,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.12126579604164867,0.027556303810502187
4,paper,12,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.11742797089733685,0.02709756757226533
4,paper,13,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.13562879542368644,0.029716576950160847
4,paper,14,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.1178997631349775,0.026696720598100646
4,paper,15,9064217876897794504,32,2,256,0.015625000000000003,0.015625000000000003,0.002762135864009952,4,0.1381673701935684,0.029462594986220815
4,paper,0,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.10033848761795984,0.021819621942403514
4,paper,1,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.10481166441397456,0.022816194413592228
4,paper,2,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.09676794621328454,0.02147627427411493
4,paper,3,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.08772273122397299,0.019293082135001874
4,paper,4,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.10546234583559147,0.023489687695607726
4,paper,5,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.08720872654153301,0.020110904834304198
4,paper,6,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.09274032734140103,0.02014975224432369
4,paper,7,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.10481721584146285,0.023068748503031276
4,paper,8,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.09085223244290709,0.020799682787865738
4,paper,9,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.09072051019695966,0.02045050150504668
