claim,schedule,seed_lane,stream_seed,d,n,T,beta1,beta2,eta,B0,avg_grad_l1,avg_grad_l2
3,paper,0,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.2997061888646201,0.06406258653737425
3,paper,1,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.33030638803074563,0.07016945421559904
3,paper,2,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.3125282952106329,0.06653000180147257
3,paper,3,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.30623915867255597,0.06478592655731233
3,paper,4,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.3065672657879355,0.06567579662692062
3,paper,5,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.30028829627209136,0.0648571411951594
3,paper,6,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.3001503757461099,0.06478626158487041
3,paper,7,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.32241688187291,0.06862813304106612
3,paper,8,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.3192310702877422,0.06814200131418954
3,paper,9,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.3066308611857969,0.06624683929936309
3,paper,10,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.31693347620219753,0.06687781254171576
3,paper,11,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.31700592252044374,0.06758586491346615
3,paper,12,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.29885946551143316,0.0632527166119939
3,paper,13,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.32585946054746573,0.06865666657201658
3,paper,14,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.28186637776839407,0.060816543677520374
3,paper,15,15850264139498295931,32,2,256,0.04419417382415922,0.04419417382415922,0.0016423758110424114,1,0.3128656821798755,0.06693887367047373
3,paper,0,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2680244002819653,0.057120607433466135
3,paper,1,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2604862990995281,0.05541521918383907
3,paper,2,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2576590782913268,0.054974784553611676
3,paper,3,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.25223222158809694,0.05379906565102307
3,paper,4,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.26597606721859496,0.05646070715255034
3,paper,5,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.25911983584501636,0.05545609296840487
3,paper,6,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2581026023239727,0.055191596096233246
3,paper,7,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.265233090031875,0.056551654909773756
3,paper,8,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2531540292487676,0.05423477719121584
3,paper,9,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2622641608874841,0.05543321493053004
3,paper,10,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2634501422170479,0.05662210133610461
3,paper,11,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2553798680047999,0.0548998303119119
3,paper,12,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2470058718270586,0.0530714157788624
3,paper,13,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.26314863283801254,0.05632727695330139
3,paper,14,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2628087319932776,0.05668625352172718
3,paper,15,5657121186284408080,32,2,512,0.03125000000000001,0.03125000000000001,0.0009765625,1,0.2644170796979261,0.05616568322351867
3,paper,0,13114525832596921289,32,2,1024,0.02209708691207961,0.02209708691207961,0.0005806675366224225,1,0.21230288781593826,0.046070564749648255
3,paper,1,13114525832596921289,32,2,1024,0.02209708691207961,0.02209708691207961,0.0005806675366224225,1,0.2150708987478933,0.045917215112376064
3,paper,2,13114525832596921289,32,2,1024,0.02209708691207961,0.02209708691207961,0.0005806675366224225,1,0.21330541200375408,0.04634081149996437
3,paper,3,13114525832596921289,32,2,1024,0.02209708691207961,0.02209708691207961,0.0005806675366224225,1,0.22239495666664874,0.04715954521241548
