claim,schedule,seed_lane,stream_seed,d,n,T,beta1,beta2,eta,B0,avg_grad_l1,avg_grad_l2
5,eta_T,0,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.345482482394357,1.101363609301923
5,eta_T,1,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.267395505529701,1.0879294332617362
5,eta_T,2,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.239690164979695,1.0724712589344922
5,eta_T,3,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.363195683473808,1.1038433403372665
5,eta_T,4,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.2418558391175,1.0780858596065857
5,eta_T,5,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.240733098944962,1.0822434130674226
5,eta_T,6,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.429287422186049,1.1181150810389449
5,eta_T,7,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.32148028488052,1.1048413626341504
5,eta_T,8,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.314842250787609,1.096541670483095
5,eta_T,9,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.120015023422949,1.0512063724602532
5,eta_T,10,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.16460797658937,1.0603563108934053
5,eta_T,11,12499851172037594921,16,3,256,0.5,0.5,0.0078125,1,4.272732096878375,1.0860156199813218
5,eta_T,0,14286327790378781658,16,3,1024,0.5,0.5,0.00390625,1,2.3694609795469885,0.6154665145216018
5,eta_T,1,14286327790378781658,16,3,1024,0.5,0.5,0.00390625,1,2.3762363047745256,0.6142356088378175
5,eta_T,2,14286327790378781658,16,3,1024,0.5,0.5,0.00390625,1,2.499132825243465,0.6423963211697814
5,eta_T,3,14286327790378781658,16,3,1024,0.5,0.5,0.00390625,1,2.3738089287649045,0.613329220855428
5,eta_T,4,14286327790378781658,16,3,1024,0.5,0.5,0.00390625,1,2.3966900475023536,0.616952607635344
5,eta_T,5,14286327790378781658,16,3,1024,0.5,0.5,0.00390625,1,2.4749931951326234,0.636637487461607
