claim,schedule,seed_lane,stream_seed,d,n,T,beta1,beta2,eta,B0,avg_grad_l1,avg_grad_l2
1,paper,0,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.30929111944452353,0.08866133044157706
1,paper,1,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3231912040331694,0.09264837073807862
1,paper,2,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.33984543434275527,0.09622815265859527
1,paper,3,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3419306673550012,0.09724689473094472
1,paper,4,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3207369134839014,0.09177747103878287
1,paper,5,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3510900922049763,0.10099124235687584
1,paper,6,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3180693723810214,0.09121506192573191
1,paper,7,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3245936994093483,0.09222951539111594
1,paper,8,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3455949977822748,0.09839802555421383
1,paper,9,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.30672191055388004,0.08734490312764659
1,paper,10,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3248932349481124,0.09296114853912954
1,paper,11,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.33469333353286485,0.09501895212730195
1,paper,12,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.33461031363799043,0.09645706426772678
1,paper,13,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.33670503870032703,0.09670461482728077
1,paper,14,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.31182523961960246,0.0888459877875831
1,paper,15,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3322534734857352,0.09444385675671046
1,paper,16,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3253050658985916,0.09402091441964179
1,paper,17,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3169191849554253,0.09115304810053378
1,paper,18,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3243943464383118,0.09345223930845055
1,paper,19,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3274316590491384,0.09467552925807203
1,paper,20,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.3324385450065274,0.09480517733230122
1,paper,21,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.31269468952787294,0.08906840665459237
1,paper,22,13344672097870544853,16,1,256,0.03125,0.03125,0.001953125,1,0.31515326349207357,0.09097183668463502
